user_id,default_90d,pd_true,age,monthly_income_vnd,emp_contract,emp_formal,emp_gig,emp_self,emp_student,region_CT,region_DN,region_HCM,region_HN,region_HP,region_NT,gender_F,gender_M,sms_count,sms_in_ratio,sms_fin_ratio,sms_kw_ratio,contacts_count,contacts_risky_ratio,rel_coworker_ratio,rel_family_ratio,rel_friend_ratio,rel_service_ratio,rel_unknown_ratio,social_rows,social_active_days,social_posts_sum,social_likes_sum,social_friends_avg,social_violations_avg,social_engagement,ecom_orders,ecom_spend_sum,ecom_basket_avg,ecom_cod_ratio,ecom_return_ratio,ecom_cat_beauty_ratio,ecom_cat_electronics_ratio,ecom_cat_fashion_ratio,ecom_cat_gaming_ratio,ecom_cat_grocery_ratio,ecom_cat_home_ratio,ecom_cat_others_ratio,web_visits,web_banking_ratio,web_education_ratio,web_entertainment_ratio,web_gambling_ratio,web_news_ratio,web_shopping_ratio,web_short_loan_ratio,web_social_ratio,email_count,email_overdue_ratio,email_type_job_ratio,email_type_promo_ratio,email_type_statement_ratio,email_type_transaction_ratio,email_type_unknown_ratio,email_type_utility_ratio
U0001,1,0.8585824494092369,58,5945186,0,0,0,1,0,0,1,0,0,0,0,1,0,2970,0.6,0.2892255892255892,0.06868686868686869,217,0.07834101382488479,0.28110599078341014,0.1382488479262673,0.4147465437788018,0.10138248847926268,0.06451612903225806,15,14,8,345,358.0,2.0,38.333333333333336,13,12330655,948511.9230769231,0.6153846153846154,0.46153846153846156,0.07692307692307693,0.3076923076923077,0.0,0.23076923076923078,0.07692307692307693,0.15384615384615385,0.15384615384615385,197,0.05583756345177665,0.07106598984771574,0.2233502538071066,0.06091370558375635,0.116751269035533,0.2233502538071066,0.09644670050761421,0.15228426395939088,97,0.09278350515463918,0.05154639175257732,0.3402061855670103,0.18556701030927836,0.29896907216494845,0.020618556701030927,0.10309278350515463
U0002,1,0.7050159135400828,22,18088887,0,1,0,0,0,1,0,0,0,0,0,1,0,2520,0.6003968253968254,0.19325396825396826,0.02738095238095238,216,0.05092592592592592,0.25462962962962965,0.12037037037037036,0.47685185185185186,0.10648148148148148,0.041666666666666664,16,15,12,526,239.0,0.0,40.46153846153846,16,6751405,421962.8125,0.625,0.125,0.1875,0.0625,0.25,0.125,0.25,0.0625,0.0625,40,0.175,0.075,0.175,0.025,0.2,0.1,0.075,0.175,86,0.03488372093023256,0.10465116279069768,0.37209302325581395,0.12790697674418605,0.2558139534883721,0.011627906976744186,0.12790697674418605
U0003,0,0.8281106980627614,22,10285377,0,0,1,0,0,0,0,0,0,1,0,0,1,1980,0.5969696969696969,0.2883838383838384,0.06363636363636363,73,0.0684931506849315,0.3424657534246575,0.0684931506849315,0.4383561643835616,0.0958904109589041,0.0547945205479452,15,14,11,338,411.0,0.0,28.166666666666668,16,14410315,900644.6875,0.625,0.25,0.125,0.1875,0.1875,0.1875,0.0625,0.1875,0.0625,58,0.10344827586206896,0.034482758620689655,0.13793103448275862,0.08620689655172414,0.05172413793103448,0.25862068965517243,0.13793103448275862,0.1896551724137931,77,0.1038961038961039,0.06493506493506493,0.38961038961038963,0.23376623376623376,0.2727272727272727,0.0,0.03896103896103896
U0004,1,0.922004254234586,47,9311649,0,0,1,0,0,1,0,0,0,0,0,0,1,2430,0.6024691358024692,0.3234567901234568,0.09670781893004116,151,0.08609271523178808,0.31125827814569534,0.1390728476821192,0.4105960264900662,0.09271523178807947,0.046357615894039736,18,17,11,398,388.0,1.0,33.166666666666664,12,11378844,948237.0,0.75,0.5,0.16666666666666666,0.25,0.3333333333333333,0.0,0.0,0.16666666666666666,0.08333333333333333,219,0.0639269406392694,0.0547945205479452,0.1598173515981735,0.0776255707762557,0.1643835616438356,0.2054794520547945,0.0958904109589041,0.1780821917808219,56,0.08928571428571429,0.0,0.44642857142857145,0.23214285714285715,0.19642857142857142,0.017857142857142856,0.10714285714285714
U0005,0,0.6778265297671294,23,18874553,0,1,0,0,0,0,0,0,1,0,0,1,0,2250,0.5937777777777777,0.19555555555555557,0.02711111111111111,254,0.051181102362204724,0.2952755905511811,0.1220472440944882,0.4330708661417323,0.08661417322834646,0.06299212598425197,21,19,14,494,261.0,0.0,32.93333333333333,17,11209239,659367.0,0.4117647058823529,0.29411764705882354,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.23529411764705882,0.17647058823529413,0.23529411764705882,228,0.06578947368421052,0.11403508771929824,0.17543859649122806,0.06578947368421052,0.11403508771929824,0.2543859649122807,0.043859649122807015,0.16666666666666666,68,0.04411764705882353,0.07352941176470588,0.36764705882352944,0.17647058823529413,0.3088235294117647,0.0,0.07352941176470588
U0006,0,0.7257975751757836,48,20328491,0,1,0,0,0,0,0,1,0,0,0,0,1,2880,0.5993055555555555,0.17256944444444444,0.022222222222222223,219,0.0502283105022831,0.2694063926940639,0.1232876712328767,0.4611872146118721,0.1050228310502283,0.0410958904109589,18,16,11,457,250.0,0.0,38.083333333333336,15,8136970,542464.6666666666,0.4,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.26666666666666666,443,0.0835214446952596,0.09706546275395034,0.18284424379232506,0.040632054176072234,0.14221218961625282,0.2234762979683973,0.04740406320541761,0.18284424379232506,78,0.1282051282051282,0.11538461538461539,0.3076923076923077,0.1794871794871795,0.23076923076923078,0.02564102564102564,0.14102564102564102
U0007,1,0.820201602364589,28,12358467,1,0,0,0,0,0,0,1,0,0,0,1,0,2430,0.6008230452674898,0.27283950617283953,0.05843621399176955,271,0.07011070110701106,0.24354243542435425,0.15498154981549817,0.43911439114391143,0.08487084870848709,0.07749077490774908,17,16,13,346,330.0,3.0,24.714285714285715,18,16789112,932728.4444444445,0.4444444444444444,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,85,0.08235294117647059,0.08235294117647059,0.12941176470588237,0.058823529411764705,0.15294117647058825,0.21176470588235294,0.12941176470588237,0.15294117647058825,100,0.09,0.07,0.45,0.23,0.15,0.01,0.09
U0008,1,0.8451055272406098,56,8155373,0,0,1,0,0,0,0,1,0,0,0,0,1,2880,0.5954861111111112,0.29791666666666666,0.07395833333333333,276,0.08333333333333333,0.2644927536231884,0.11231884057971014,0.4601449275362319,0.11231884057971014,0.050724637681159424,13,12,12,271,415.0,2.0,20.846153846153847,18,13711132,761729.5555555555,0.5555555555555556,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.1111111111111111,171,0.06432748538011696,0.07017543859649122,0.1695906432748538,0.1111111111111111,0.08771929824561403,0.18128654970760233,0.14035087719298245,0.17543859649122806,79,0.05063291139240506,0.13924050632911392,0.3670886075949367,0.13924050632911392,0.17721518987341772,0.05063291139240506,0.12658227848101267
U0009,1,0.8001704727365695,51,19524907,0,0,0,1,0,0,0,0,0,1,0,1,0,2790,0.5931899641577061,0.22974910394265233,0.03906810035842294,257,0.0622568093385214,0.2529182879377432,0.11673151750972763,0.45525291828793774,0.12062256809338522,0.054474708171206226,18,17,18,470,381.0,0.0,24.736842105263158,30,23373041,779101.3666666667,0.5333333333333333,0.23333333333333334,0.2,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.16666666666666666,0.1,0.2,208,0.052884615384615384,0.0673076923076923,0.15384615384615385,0.07211538461538461,0.09615384615384616,0.30288461538461536,0.052884615384615384,0.20192307692307693,78,0.07692307692307693,0.07692307692307693,0.38461538461538464,0.20512820512820512,0.2692307692307692,0.0,0.0641025641025641
U0010,1,0.8382279453064738,25,5280444,0,0,0,0,1,1,0,0,0,0,0,1,0,2700,0.5948148148148148,0.31666666666666665,0.08074074074074074,229,0.08296943231441048,0.2576419213973799,0.13973799126637554,0.4410480349344978,0.10480349344978165,0.056768558951965066,15,13,11,291,532.0,4.0,24.25,9,4131195,459021.6666666667,0.4444444444444444,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.0,0.1111111111111111,352,0.07386363636363637,0.07670454545454546,0.14772727272727273,0.09943181818181818,0.11647727272727272,0.21022727272727273,0.08522727272727272,0.1903409090909091,67,0.1791044776119403,0.1044776119402985,0.29850746268656714,0.19402985074626866,0.2835820895522388,0.014925373134328358,0.1044776119402985
