user_id,ts,platform,posts,likes,friends,violations,joined_days
U0001,2025-07-08T13:37:55.833791,facebook,0,30,358,2,1619
U0001,2025-06-28T21:54:35.833791,instagram,1,38,358,2,541
U0001,2025-07-29T03:29:56.833791,instagram,1,30,358,2,764
U0001,2025-06-18T21:55:06.833791,x,0,9,358,2,826
U0001,2025-07-27T23:06:18.833791,zalo,2,26,358,2,1517
U0001,2025-08-18T13:45:28.833791,x,0,23,358,2,2240
U0001,2025-06-02T08:28:31.833791,facebook,0,21,358,2,522
U0001,2025-08-19T14:29:48.833791,facebook,0,28,358,2,525
U0001,2025-06-22T10:44:39.833791,x,0,29,358,2,2201
U0001,2025-06-21T14:44:32.833791,x,1,23,358,2,322
U0001,2025-06-10T11:05:11.833791,facebook,0,20,358,2,1296
U0001,2025-08-15T13:23:27.833791,tiktok,1,21,358,2,2211
U0001,2025-06-11T15:37:26.833791,x,2,14,358,2,1532
U0001,2025-07-13T01:27:53.833791,tiktok,0,27,358,2,636
U0001,2025-07-10T03:56:15.833791,x,0,6,358,2,749
U0002,2025-06-26T17:19:09.833791,instagram,0,51,239,0,2478
U0002,2025-06-11T22:23:54.833791,tiktok,0,31,239,0,1206
U0002,2025-08-23T21:16:26.833791,x,1,19,239,0,699
U0002,2025-08-12T10:58:14.833791,zalo,0,25,239,0,1380
U0002,2025-06-29T07:59:03.833791,facebook,1,25,239,0,2373
U0002,2025-08-05T23:31:56.833791,tiktok,0,28,239,0,675
U0002,2025-08-10T06:20:25.833791,zalo,0,30,239,0,2298
U0002,2025-06-18T02:42:05.833791,instagram,0,48,239,0,1517
U0002,2025-06-06T16:06:33.833791,facebook,1,33,239,0,1986
U0002,2025-08-03T06:16:12.833791,facebook,2,39,239,0,1233
U0002,2025-08-14T17:34:03.833791,tiktok,1,41,239,0,746
U0002,2025-07-16T10:09:47.833791,tiktok,1,39,239,0,2379
U0002,2025-07-23T07:51:38.833791,x,0,17,239,0,203
U0002,2025-08-06T03:43:05.833791,instagram,2,10,239,0,443
U0002,2025-08-14T09:42:54.833791,tiktok,2,35,239,0,2139
U0002,2025-08-13T04:03:34.833791,tiktok,1,55,239,0,737
U0003,2025-06-30T21:36:27.833791,instagram,0,0,411,0,482
U0003,2025-06-26T12:55:34.833791,tiktok,1,38,411,0,1694
U0003,2025-06-20T18:39:53.833791,instagram,1,15,411,0,1440
U0003,2025-08-21T16:55:56.833791,x,0,30,411,0,2175
U0003,2025-06-24T21:01:54.833791,tiktok,0,39,411,0,1940
U0003,2025-08-24T03:47:59.833791,facebook,1,37,411,0,1462
U0003,2025-06-11T16:46:07.833791,zalo,1,31,411,0,460
U0003,2025-07-04T09:46:23.833791,zalo,1,10,411,0,1869
U0003,2025-08-01T14:22:09.833791,x,0,10,411,0,178
U0003,2025-06-13T16:52:30.833791,x,0,24,411,0,2143
U0003,2025-07-14T02:24:23.833791,tiktok,1,34,411,0,886
U0003,2025-07-30T08:17:39.833791,x,0,19,411,0,844
U0003,2025-08-02T13:02:36.833791,instagram,3,12,411,0,445
U0003,2025-07-27T21:55:46.833791,instagram,1,16,411,0,1056
U0003,2025-08-20T22:19:44.833791,instagram,1,23,411,0,2346
U0004,2025-06-09T19:36:40.833791,facebook,1,7,388,1,2034
U0004,2025-07-24T19:52:20.833791,tiktok,0,23,388,1,819
U0004,2025-08-15T07:54:12.833791,tiktok,0,32,388,1,1426
U0004,2025-06-21T22:07:53.833791,facebook,2,28,388,1,1402
U0004,2025-07-10T22:51:10.833791,x,0,21,388,1,1513
U0004,2025-08-19T03:38:27.833791,facebook,1,23,388,1,2336
U0004,2025-08-01T16:59:48.833791,x,1,25,388,1,414
U0004,2025-07-04T05:02:26.833791,x,0,25,388,1,712
U0004,2025-06-24T14:24:11.833791,facebook,2,24,388,1,2449
U0004,2025-08-09T12:20:26.833791,tiktok,0,14,388,1,2067
